date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:26	69024/69024	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d8-10da0%22	http://shifthtml.themerex.net/js/mediaelement.min.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/mediaelement.min.js	(from http://shifthtml.themerex.net/)
19:00:26	18221/18221	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d6-472d%22	http://shifthtml.themerex.net/js/jquery.reject.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/jquery.reject.js	(from http://shifthtml.themerex.net/)
19:00:27	24060/24060	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d8-5dfc%22	http://shifthtml.themerex.net/js/utils.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/utils.js	(from http://shifthtml.themerex.net/)
19:00:27	20071/20071	---MCZ	200	added ('OK')	text/javascript	etag:W/%225356b5d8-4e67%22	http://shifthtml.themerex.net/js/lib.js	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/js/lib.js	(from http://shifthtml.themerex.net/)
19:00:27	2443/2443	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-98b%22	http://shifthtml.themerex.net/style/shift-settings.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/shift-settings.css	(from http://shifthtml.themerex.net/style/style.css)
19:00:27	12892/12892	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-325c%22	http://shifthtml.themerex.net/style/dark-theme.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/dark-theme.css	(from http://shifthtml.themerex.net/style/style.css)
19:00:28	19454/19454	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5da-4bfe%22	http://shifthtml.themerex.net/style/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/font-awesome/css/font-awesome.min.css	(from http://shifthtml.themerex.net/style/style.css)
19:00:28	18811/18811	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-497b%22	http://shifthtml.themerex.net/style/prettyPhoto.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/prettyPhoto.css	(from http://shifthtml.themerex.net/style/style.css)
19:00:28	1538/1538	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-602%22	http://shifthtml.themerex.net/style/jquery.reject.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/jquery.reject.css	(from http://shifthtml.themerex.net/style/style.css)
19:00:28	13667/13667	---MCZ	200	added ('OK')	text/css	etag:W/%225356b5d8-3563%22	http://shifthtml.themerex.net/style/mediaplayer.css	C:/My%20Web%20Sites/cv2/shifthtml.themerex.net/style/mediaplayer.css	(from http://shifthtml.themerex.net/style/style.css)
